,온라인판매량
0,309665
1,288800
2,325867
3,318369
4,355920
5,374849
6,415437
7,453319
8,423648
9,460967
10,468405
11,577758
12,568558
13,566204
14,639833
15,637236
16,692525
17,722286
18,773268
19,857555
20,799765
21,854572
22,965853
23,991679
24,997237
25,1066259
26,1180004
27,1185498
28,1232463
29,1184989
30,1305403
31,1592020
32,1529457
33,1477922
34,1572480
35,2110502
36,1961804
37,1762520
38,1905016
39,1921028
40,2082063
41,1919457
42,2317210
43,2359649
44,2127649
45,2207517
46,2024799
47,2394098
