,시군구코드,사고건수,시군구명
0,11110,125,서울특별시 종로구
1,11140,256,서울특별시 중구
2,11170,85,서울특별시 용산구
3,11200,168,서울특별시 성동구
4,11215,113,서울특별시 광진구
5,11230,294,서울특별시 동대문구
6,11260,235,서울특별시 중랑구
7,11290,177,서울특별시 성북구
8,11305,174,서울특별시 강북구
9,11320,67,서울특별시 도봉구
10,11350,121,서울특별시 노원구
11,11380,113,서울특별시 은평구
12,11410,102,서울특별시 서대문구
13,11440,139,서울특별시 마포구
14,11470,58,서울특별시 양천구
15,11500,128,서울특별시 강서구
16,11530,146,서울특별시 구로구
17,11545,128,서울특별시 금천구
18,11560,138,서울특별시 영등포구
19,11590,160,서울특별시 동작구
20,11620,213,서울특별시 관악구
21,11650,130,서울특별시 서초구
22,11680,316,서울특별시 강남구
23,11710,264,서울특별시 송파구
24,11740,74,서울특별시 강동구
