,이륜차등록대수,year,month
0,2194140.0,2018,1
1,2193273.0,2018,2
2,2195171.0,2018,3
3,2198065.0,2018,4
4,2200707.0,2018,5
5,2203142.0,2018,6
6,2206025.0,2018,7
7,2210071.0,2018,8
8,2212520.0,2018,9
9,2212121.0,2018,10
10,2210664.0,2018,11
11,2208424.0,2018,12
12,2206832.0,2019,1
13,2206972.0,2019,2
14,2209661.0,2019,3
15,2213892.0,2019,4
16,2218896.0,2019,5
17,2221772.0,2019,6
18,2226501.0,2019,7
19,2231687.0,2019,8
20,2236941.0,2019,9
21,2239315.0,2019,10
22,2238594.0,2019,11
23,2236895.0,2019,12
24,2236089.0,2020,1
25,2238144.0,2020,2
26,2245292.0,2020,3
27,2253441.0,2020,4
28,2259482.0,2020,5
29,2264950.0,2020,6
30,2270122.0,2020,7
31,2274211.0,2020,8
32,2284258.0,2020,9
33,2287659.0,2020,10
34,2287836.0,2020,11
35,2289009.0,2020,12
36,2289542.0,2021,1
37,2291878.0,2021,2
38,2296462.0,2021,3
39,2304922.0,2021,4
40,2310149.0,2021,5
41,2316268.0,2021,6
42,2319194.0,2021,7
43,2308273.0,2021,8
44,2261593.0,2021,9
45,2247144.0,2021,10
46,2229233.0,2021,11
47,2213837.0,2021,12
