,이륜차등록대수
0,2194140.0
1,2193273.0
2,2195171.0
3,2198065.0
4,2200707.0
5,2203142.0
6,2206025.0
7,2210071.0
8,2212520.0
9,2212121.0
10,2210664.0
11,2208424.0
12,2206832.0
13,2206972.0
14,2209661.0
15,2213892.0
16,2218896.0
17,2221772.0
18,2226501.0
19,2231687.0
20,2236941.0
21,2239315.0
22,2238594.0
23,2236895.0
24,2236089.0
25,2238144.0
26,2245292.0
27,2253441.0
28,2259482.0
29,2264950.0
30,2270122.0
31,2274211.0
32,2284258.0
33,2287659.0
34,2287836.0
35,2289009.0
36,2289542.0
37,2291878.0
38,2296462.0
39,2304922.0
40,2310149.0
41,2316268.0
42,2319194.0
43,2308273.0
44,2261593.0
45,2247144.0
46,2229233.0
47,2213837.0
