,freqocZoneVer,freqocZoneId,freqocZoneNm,signguCode,signguNm,acdntCo,centerX,centerY,zoneRds
0,2021090301,1154500355,베스트마트,11545,서울특별시 금천구,3,126.903142,37.472332,40
1,2021090301,1154500356,신흥빌딩입구,11545,서울특별시 금천구,7,126.898679,37.477510,40
2,2021090301,1154500357,엘림데이케어센터,11545,서울특별시 금천구,6,126.901707,37.466493,40
3,2021090301,1154500358,M모텔,11545,서울특별시 금천구,4,126.903609,37.476282,40
4,2021090301,1154500359,아마존,11545,서울특별시 금천구,13,126.903998,37.479899,40
5,2021090301,1154500360,경희으뜸한의원,11545,서울특별시 금천구,4,126.902774,37.464660,40
6,2021090301,1154500361,협진식품빌딩입구,11545,서울특별시 금천구,13,126.896290,37.466546,40
7,2021090301,1154500362,영진빌딩입구,11545,서울특별시 금천구,12,126.898196,37.471442,40
8,2021090301,1154500363,임안과,11545,서울특별시 금천구,11,126.900682,37.454752,40
9,2021090301,1154500364,하이마트독산동점입구,11545,서울특별시 금천구,9,126.897798,37.461894,40
10,2021090301,1154500365,힐링,11545,서울특별시 금천구,21,126.890890,37.478471,40
11,2021090301,1154500366,온유치과의원,11545,서울특별시 금천구,12,126.904902,37.460037,40
12,2021090301,1154500367,재롱이애견,11545,서울특별시 금천구,7,126.902332,37.468948,40
13,2021090301,1154500368,늘기쁜교회,11545,서울특별시 금천구,3,126.905611,37.456255,40
14,2021090301,1154500369,독산2동주민센터입구,11545,서울특별시 금천구,3,126.903907,37.462917,40
0,2021090301,1135000215,대지메디칼,11350,서울특별시 노원구,8,127.068378,37.663290,40
1,2021090301,1135000216,마들역,11350,서울특별시 노원구,3,127.058031,37.664288,40
2,2021090301,1135000217,에스시스템,11350,서울특별시 노원구,11,127.050728,37.624980,40
3,2021090301,1135000218,가온요양원,11350,서울특별시 노원구,9,127.064956,37.658924,40
4,2021090301,1135000219,공릉동우체국입구,11350,서울특별시 노원구,4,127.075414,37.618303,40
5,2021090301,1135000220,대성사약국입구,11350,서울특별시 노원구,13,127.073638,37.623677,40
6,2021090301,1135000221,서울수락치과의원,11350,서울특별시 노원구,6,127.056257,37.670933,40
7,2021090301,1135000222,노원아동복지회관,11350,서울특별시 노원구,3,127.070635,37.645289,40
8,2021090301,1135000223,먹보순대국설렁탕,11350,서울특별시 노원구,10,127.055404,37.675148,40
9,2021090301,1135000224,멍석숯불갈비,11350,서울특별시 노원구,4,127.056325,37.667121,40
10,2021090301,1135000225,간단하지만특별한화피디Cafe,11350,서울특별시 노원구,3,127.077727,37.652102,40
11,2021090301,1135000226,서라벌고교송덕도서관,11350,서울특별시 노원구,3,127.076444,37.644427,40
12,2021090301,1135000227,중계역,11350,서울특별시 노원구,6,127.064279,37.644833,40
13,2021090301,1135000228,중계무지개아파트,11350,서울특별시 노원구,3,127.066001,37.641090,40
14,2021090301,1135000229,초록별어린이집,11350,서울특별시 노원구,4,127.068320,37.635961,40
15,2021090301,1135000230,돈까스가게,11350,서울특별시 노원구,4,127.071822,37.634081,40
16,2021090301,1135000231,하계극동아파트,11350,서울특별시 노원구,3,127.064661,37.633703,40
17,2021090301,1135000232,노원구재활용센타2관,11350,서울특별시 노원구,3,127.074277,37.654659,40
18,2021090301,1135000233,노원역지구대입구,11350,서울특별시 노원구,3,127.067144,37.655092,40
19,2021090301,1135000234,금성여관,11350,서울특별시 노원구,8,127.076997,37.664907,40
20,2021090301,1135000235,아방셀프다이어트,11350,서울특별시 노원구,10,127.061325,37.651781,40
0,2021090301,1132000205,미라인치과의원,11320,서울특별시 도봉구,4,127.033403,37.646473,40
1,2021090301,1132000206,항준외과의원,11320,서울특별시 도봉구,11,127.036185,37.651045,40
2,2021090301,1132000207,창동주공3단지아파트 311호,11320,서울특별시 도봉구,4,127.043722,37.651354,40
3,2021090301,1132000208,롯데하이마트,11320,서울특별시 도봉구,5,127.052544,37.652811,40
4,2021090301,1132000209,금용아파트입구,11320,서울특별시 도봉구,7,127.027681,37.649569,40
5,2021090301,1132000210,티스테이션도봉대리점,11320,서울특별시 도봉구,11,127.042637,37.663752,40
6,2021090301,1132000211,마벨스튜디오,11320,서울특별시 도봉구,13,127.038429,37.654893,40
7,2021090301,1132000212,평강오토바이센타,11320,서울특별시 도봉구,3,127.044394,37.671222,40
8,2021090301,1132000213,대성빌라입구,11320,서울특별시 도봉구,6,127.045354,37.679265,40
9,2021090301,1132000214,탄탄의원,11320,서울특별시 도봉구,3,127.045724,37.687442,40
0,2021090301,1123000104,피자파인트리,11230,서울특별시 동대문구,3,127.067720,37.590910,40
1,2021090301,1123000105,성원철물공구,11230,서울특별시 동대문구,7,127.052813,37.568167,40
2,2021090301,1123000106,백죠다방,11230,서울특별시 동대문구,10,127.051497,37.585667,40
3,2021090301,1123000107,미쳐버린파닭,11230,서울특별시 동대문구,10,127.032951,37.586415,40
4,2021090301,1123000108,즐거운교회,11230,서울특별시 동대문구,12,127.037741,37.586515,40
5,2021090301,1123000109,동아제약앞,11230,서울특별시 동대문구,19,127.030535,37.572534,40
6,2021090301,1123000110,중앙치과의원,11230,서울특별시 동대문구,5,127.042373,37.579205,40
7,2021090301,1123000111,그리그리쿡,11230,서울특별시 동대문구,5,127.062225,37.602733,40
8,2021090301,1123000112,오로라온누리약국,11230,서울특별시 동대문구,3,127.049986,37.578856,40
9,2021090301,1123000113,현대썬앤빌청계오피스텔,11230,서울특별시 동대문구,4,127.055476,37.566041,40
10,2021090301,1123000114,한국외국어대학교입구,11230,서울특별시 동대문구,10,127.060268,37.596471,40
11,2021090301,1123000115,뚱이벨라,11230,서울특별시 동대문구,11,127.056636,37.572833,40
12,2021090301,1123000116,다맛골,11230,서울특별시 동대문구,4,127.026777,37.573997,40
13,2021090301,1123000117,선정형외과의원,11230,서울특별시 동대문구,21,127.038202,37.576052,40
14,2021090301,1123000118,올치과의원,11230,서울특별시 동대문구,24,127.056080,37.590128,40
15,2021090301,1123000119,임용준치과의원,11230,서울특별시 동대문구,13,127.057346,37.577225,40
16,2021090301,1123000120,AUTO팩토리,11230,서울특별시 동대문구,3,127.030429,37.578617,40
17,2021090301,1123000121,주정형외과의원,11230,서울특별시 동대문구,4,127.047569,37.575971,40
18,2021090301,1123000122,전곡시장앞,11230,서울특별시 동대문구,11,127.067947,37.577138,40
19,2021090301,1123000123,재건공조,11230,서울특별시 동대문구,23,127.036375,37.591260,40
20,2021090301,1123000124,대원빌딩,11230,서울특별시 동대문구,4,127.065174,37.570873,40
21,2021090301,1123000125,귀빈,11230,서울특별시 동대문구,24,127.071388,37.571526,40
22,2021090301,1123000126,아름경로당,11230,서울특별시 동대문구,3,127.068553,37.593779,40
23,2021090301,1123000127,퓨전한신포차,11230,서울특별시 동대문구,9,127.065112,37.562192,40
24,2021090301,1123000128,레드팡과자점,11230,서울특별시 동대문구,3,127.068528,37.572552,40
25,2021090301,1123000129,월드정보통신,11230,서울특별시 동대문구,10,127.066206,37.572589,40
26,2021090301,1123000130,힐스포츠파크입구,11230,서울특별시 동대문구,6,127.063827,37.572769,40
27,2021090301,1123000131,티에이치비엠,11230,서울특별시 동대문구,4,127.072184,37.578803,40
28,2021090301,1123000132,힐튼모텔,11230,서울특별시 동대문구,15,127.050178,37.571447,40
29,2021090301,1123000133,장평근린공원테니스장,11230,서울특별시 동대문구,5,127.074078,37.566371,40
30,2021090301,1123000134,안암오거리,11230,서울특별시 동대문구,3,127.029407,37.582642,40
31,2021090301,1123000135,경동전자,11230,서울특별시 동대문구,6,127.038624,37.582958,40
0,2021090301,1132000205,미라인치과의원,11320,서울특별시 도봉구,4,127.033403,37.646473,40
1,2021090301,1132000206,항준외과의원,11320,서울특별시 도봉구,11,127.036185,37.651045,40
2,2021090301,1132000207,창동주공3단지아파트 311호,11320,서울특별시 도봉구,4,127.043722,37.651354,40
3,2021090301,1132000208,롯데하이마트,11320,서울특별시 도봉구,5,127.052544,37.652811,40
4,2021090301,1132000209,금용아파트입구,11320,서울특별시 도봉구,7,127.027681,37.649569,40
5,2021090301,1132000210,티스테이션도봉대리점,11320,서울특별시 도봉구,11,127.042637,37.663752,40
6,2021090301,1132000211,마벨스튜디오,11320,서울특별시 도봉구,13,127.038429,37.654893,40
7,2021090301,1132000212,평강오토바이센타,11320,서울특별시 도봉구,3,127.044394,37.671222,40
8,2021090301,1132000213,대성빌라입구,11320,서울특별시 도봉구,6,127.045354,37.679265,40
9,2021090301,1132000214,탄탄의원,11320,서울특별시 도봉구,3,127.045724,37.687442,40
0,2021090301,1123000104,피자파인트리,11230,서울특별시 동대문구,3,127.067720,37.590910,40
1,2021090301,1123000105,성원철물공구,11230,서울특별시 동대문구,7,127.052813,37.568167,40
2,2021090301,1123000106,백죠다방,11230,서울특별시 동대문구,10,127.051497,37.585667,40
3,2021090301,1123000107,미쳐버린파닭,11230,서울특별시 동대문구,10,127.032951,37.586415,40
4,2021090301,1123000108,즐거운교회,11230,서울특별시 동대문구,12,127.037741,37.586515,40
5,2021090301,1123000109,동아제약앞,11230,서울특별시 동대문구,19,127.030535,37.572534,40
6,2021090301,1123000110,중앙치과의원,11230,서울특별시 동대문구,5,127.042373,37.579205,40
7,2021090301,1123000111,그리그리쿡,11230,서울특별시 동대문구,5,127.062225,37.602733,40
8,2021090301,1123000112,오로라온누리약국,11230,서울특별시 동대문구,3,127.049986,37.578856,40
9,2021090301,1123000113,현대썬앤빌청계오피스텔,11230,서울특별시 동대문구,4,127.055476,37.566041,40
10,2021090301,1123000114,한국외국어대학교입구,11230,서울특별시 동대문구,10,127.060268,37.596471,40
11,2021090301,1123000115,뚱이벨라,11230,서울특별시 동대문구,11,127.056636,37.572833,40
12,2021090301,1123000116,다맛골,11230,서울특별시 동대문구,4,127.026777,37.573997,40
13,2021090301,1123000117,선정형외과의원,11230,서울특별시 동대문구,21,127.038202,37.576052,40
14,2021090301,1123000118,올치과의원,11230,서울특별시 동대문구,24,127.056080,37.590128,40
15,2021090301,1123000119,임용준치과의원,11230,서울특별시 동대문구,13,127.057346,37.577225,40
16,2021090301,1123000120,AUTO팩토리,11230,서울특별시 동대문구,3,127.030429,37.578617,40
17,2021090301,1123000121,주정형외과의원,11230,서울특별시 동대문구,4,127.047569,37.575971,40
18,2021090301,1123000122,전곡시장앞,11230,서울특별시 동대문구,11,127.067947,37.577138,40
19,2021090301,1123000123,재건공조,11230,서울특별시 동대문구,23,127.036375,37.591260,40
20,2021090301,1123000124,대원빌딩,11230,서울특별시 동대문구,4,127.065174,37.570873,40
21,2021090301,1123000125,귀빈,11230,서울특별시 동대문구,24,127.071388,37.571526,40
22,2021090301,1123000126,아름경로당,11230,서울특별시 동대문구,3,127.068553,37.593779,40
23,2021090301,1123000127,퓨전한신포차,11230,서울특별시 동대문구,9,127.065112,37.562192,40
24,2021090301,1123000128,레드팡과자점,11230,서울특별시 동대문구,3,127.068528,37.572552,40
25,2021090301,1123000129,월드정보통신,11230,서울특별시 동대문구,10,127.066206,37.572589,40
26,2021090301,1123000130,힐스포츠파크입구,11230,서울특별시 동대문구,6,127.063827,37.572769,40
27,2021090301,1123000131,티에이치비엠,11230,서울특별시 동대문구,4,127.072184,37.578803,40
28,2021090301,1123000132,힐튼모텔,11230,서울특별시 동대문구,15,127.050178,37.571447,40
29,2021090301,1123000133,장평근린공원테니스장,11230,서울특별시 동대문구,5,127.074078,37.566371,40
30,2021090301,1123000134,안암오거리,11230,서울특별시 동대문구,3,127.029407,37.582642,40
31,2021090301,1123000135,경동전자,11230,서울특별시 동대문구,6,127.038624,37.582958,40
0,2021090301,1159000398,네이처리퍼블릭,11590,서울특별시 동작구,7,126.947449,37.503473,40
1,2021090301,1159000399,동작주차공원입구,11590,서울특별시 동작구,6,126.975696,37.503944,40
2,2021090301,1159000400,수진세인트빌딩입구,11590,서울특별시 동작구,22,126.930911,37.500087,40
3,2021090301,1159000401,노량진역,11590,서울특별시 동작구,7,126.941456,37.513531,40
4,2021090301,1159000402,노량북고가차도,11590,서울특별시 동작구,3,126.956098,37.513617,40
5,2021090301,1159000403,국민은행노량진중앙지점,11590,서울특별시 동작구,3,126.936637,37.513382,40
6,2021090301,1159000404,동작문화복지센터.동작보건소,11590,서울특별시 동작구,20,126.941044,37.505128,40
7,2021090301,1159000405,샤인빌라,11590,서울특별시 동작구,3,126.951953,37.504828,40
8,2021090301,1159000406,숭실대입구역,11590,서울특별시 동작구,12,126.953382,37.496524,40
9,2021090301,1159000407,명수대현대아파트입구,11590,서울특별시 동작구,3,126.967020,37.506916,40
10,2021090301,1159000408,동작구청쓰레기중간집하장,11590,서울특별시 동작구,3,126.963896,37.508669,40
11,2021090301,1159000409,청수약국입구,11590,서울특별시 동작구,18,126.908371,37.487690,40
12,2021090301,1159000410,필라(FILA)입구,11590,서울특별시 동작구,25,126.982126,37.485423,40
13,2021090301,1159000411,유성빌라입구,11590,서울특별시 동작구,10,126.970445,37.484893,40
14,2021090301,1159000412,우리은행입구,11590,서울특별시 동작구,15,126.979619,37.476687,40
15,2021090301,1159000413,수석빌딩,11590,서울특별시 동작구,3,126.924069,37.499729,40
0,2021090301,1144000276,대동입구,11440,서울특별시 마포구,3,126.918670,37.555442,40
1,2021090301,1144000277,마포구청역,11440,서울특별시 마포구,4,126.903767,37.563065,40
2,2021090301,1144000278,공덕역(중),11440,서울특별시 마포구,9,126.950987,37.543942,40
3,2021090301,1144000279,기업은행서교동지점,11440,서울특별시 마포구,9,126.911514,37.554172,40
4,2021090301,1144000280,이화명가,11440,서울특별시 마포구,6,126.918489,37.552503,40
5,2021090301,1144000281,비에스케이코퍼레이션,11440,서울특별시 마포구,3,126.923755,37.552294,40
6,2021090301,1144000282,연남동,11440,서울특별시 마포구,3,126.922235,37.563031,40
7,2021090301,1144000283,간단하지만특별한화피디Cafe,11440,서울특별시 마포구,7,126.928893,37.554005,40
8,2021090301,1144000284,청기와숯불갈비,11440,서울특별시 마포구,4,126.908290,37.558067,40
9,2021090301,1144000285,연세여우치과의원,11440,서울특별시 마포구,6,126.923601,37.557566,40
10,2021090301,1144000286,마포역,11440,서울특별시 마포구,7,126.947559,37.540735,40
11,2021090301,1144000287,홍대입구역교차로(경유),11440,서울특별시 마포구,12,126.921559,37.555213,40
12,2021090301,1144000288,신안빌딩입구,11440,서울특별시 마포구,5,126.912027,37.565180,40
13,2021090301,1144000289,성산빌딩입구,11440,서울특별시 마포구,5,126.914199,37.562513,40
14,2021090301,1144000290,요미네떡볶이,11440,서울특별시 마포구,7,126.946024,37.546172,40
15,2021090301,1144000291,우린칼국수,11440,서울특별시 마포구,11,126.917833,37.548119,40
16,2021090301,1144000292,신성기사식당,11440,서울특별시 마포구,11,126.938782,37.547265,40
17,2021090301,1144000293,얀씨클럽,11440,서울특별시 마포구,4,126.929214,37.547571,40
18,2021090301,1144000294,공덕제2주민센터,11440,서울특별시 마포구,6,126.953823,37.547840,40
19,2021090301,1144000295,사라헤어,11440,서울특별시 마포구,3,126.918595,37.557866,40
20,2021090301,1144000296,성제빌딩,11440,서울특별시 마포구,6,126.915572,37.554949,40
21,2021090301,1144000297,페이브크로아상,11440,서울특별시 마포구,4,126.923854,37.560109,40
22,2021090301,1144000298,상암동입구,11440,서울특별시 마포구,4,126.898747,37.573432,40
0,2021090301,1141000257,동경.에이스.시몬스침대,11410,서울특별시 서대문구,6,126.930974,37.557314,40
1,2021090301,1141000258,ABC마트,11410,서울특별시 서대문구,11,126.944066,37.556754,40
2,2021090301,1141000259,신촌역입구,11410,서울특별시 서대문구,12,126.935584,37.555614,40
3,2021090301,1141000260,고창신림농협직판장입구,11410,서울특별시 서대문구,5,126.948182,37.594368,40
4,2021090301,1141000261,요셉이비인후과의원,11410,서울특별시 서대문구,4,126.941259,37.591533,40
5,2021090301,1141000262,디테일,11410,서울특별시 서대문구,4,126.948183,37.584994,40
6,2021090301,1141000263,백년모텔,11410,서울특별시 서대문구,5,126.911029,37.584031,40
7,2021090301,1141000264,기업은행홍은동지점,11410,서울특별시 서대문구,7,126.936730,37.582308,40
8,2021090301,1141000265,금풍상사,11410,서울특별시 서대문구,3,126.928104,37.580185,40
9,2021090301,1141000266,명품청기와감자탕,11410,서울특별시 서대문구,3,126.929867,37.577796,40
10,2021090301,1141000267,청양빌딩입구,11410,서울특별시 서대문구,4,126.909585,37.577660,40
11,2021090301,1141000268,중앙치과의원,11410,서울특별시 서대문구,3,126.925769,37.576027,40
12,2021090301,1141000269,스튜디오뮌,11410,서울특별시 서대문구,7,126.931322,37.569574,40
13,2021090301,1141000270,DMC래미안e-편한세상3단지,11410,서울특별시 서대문구,4,126.907158,37.575205,40
14,2021090301,1141000271,SK에너지행촌제2주유소,11410,서울특별시 서대문구,7,126.941429,37.561230,40
15,2021090301,1141000272,쓰리알유씨티아파트입구,11410,서울특별시 서대문구,4,126.926841,37.558871,40
16,2021090301,1141000273,와플대학,11410,서울특별시 서대문구,7,126.930419,37.566198,40
17,2021090301,1141000274,쉼터고시텔,11410,서울특별시 서대문구,3,126.952011,37.557152,40
18,2021090301,1141000275,북아현1치안센터,11410,서울특별시 서대문구,3,126.956187,37.557405,40
0,2021090301,1165000434,디지털프라자반포점,11650,서울특별시 서초구,7,126.997042,37.499458,40
1,2021090301,1165000435,구보빌딩입구,11650,서울특별시 서초구,5,127.042731,37.481761,40
2,2021090301,1165000436,서초장미어린이집,11650,서울특별시 서초구,3,127.028409,37.483895,40
3,2021090301,1165000437,박치과의원,11650,서울특별시 서초구,4,127.008990,37.483672,40
4,2021090301,1165000438,뱅뱅사거리(경유),11650,서울특별시 서초구,4,127.031519,37.489532,40
